stim_name,stim_type,mean,median,std,se,95ci,count
chisel,non-object,0.247537297939,0.247537297939,0.0,0.0,0.0,12
chisel,object,0.253160991003,0.253160991003,0.0,0.0,0.0,12
chisel2,non-object,-0.0318069013286,-0.0318069013286,7.2474383143e-18,2.09215523085e-18,4.10062425247e-18,12
chisel2,object,-0.0377185441298,-0.0377185441298,7.2474383143e-18,2.09215523085e-18,4.10062425247e-18,12
fork,non-object,-0.297109728432,-0.297109728432,5.79795065144e-17,1.67372418468e-17,3.28049940197e-17,12
fork,object,-0.304235253973,-0.304235253973,5.79795065144e-17,1.67372418468e-17,3.28049940197e-17,12
hammer,non-object,-0.480936746243,-0.480936746243,5.79795065144e-17,1.67372418468e-17,3.28049940197e-17,12
hammer,object,-0.481298895055,-0.481298895055,5.79795065144e-17,1.67372418468e-17,3.28049940197e-17,12
knife,non-object,-0.0122000521725,-0.0122000521725,1.81185957858e-18,5.23038807712e-19,1.02515606312e-18,12
knife,object,-0.0193154911082,-0.0193154911082,3.62371915715e-18,1.04607761542e-18,2.05031212623e-18,12
mallet,non-object,-0.36907316005,-0.36907316005,5.79795065144e-17,1.67372418468e-17,3.28049940197e-17,12
mallet,object,-0.373881528803,-0.373881528803,0.0,0.0,0.0,12
paintbrush,non-object,-0.300171197489,-0.300171197489,0.0,0.0,0.0,12
paintbrush,object,-0.300880314819,-0.300880314819,0.0,0.0,0.0,12
peeler,non-object,0.00236998412916,0.00236998412916,4.52964894644e-19,1.30759701928e-19,2.56289015779e-19,12
peeler,object,-0.00376728089425,-0.00376728089425,1.35889468393e-18,3.92279105784e-19,7.68867047337e-19,12
screwdriver,non-object,0.454948133104,0.454948133104,5.79795065144e-17,1.67372418468e-17,3.28049940197e-17,12
screwdriver,object,0.454481679064,0.454481679064,0.0,0.0,0.0,12
sharpeningsteel,non-object,0.269564921398,0.269564921398,0.0,0.0,0.0,12
sharpeningsteel,object,0.278616203349,0.278616203349,5.79795065144e-17,1.67372418468e-17,3.28049940197e-17,12
spoon,non-object,-0.1419318132,-0.1419318132,0.0,0.0,0.0,12
spoon,object,-0.141352963244,-0.141352963244,0.0,0.0,0.0,12
spoon2,non-object,-0.127678682822,-0.127678682822,0.0,0.0,0.0,12
spoon2,object,-0.121369330537,-0.121369330537,4.34846298858e-17,1.25529313851e-17,2.46037455148e-17,12
washingbrush,non-object,-0.33976789502,-0.33976789502,0.0,0.0,0.0,12
washingbrush,object,-0.335846635413,-0.335846635413,0.0,0.0,0.0,12
wrench,non-object,-0.218654026466,-0.218654026466,0.0,0.0,0.0,12
wrench,object,-0.219448092067,-0.219448092067,8.69692597717e-17,2.51058627702e-17,4.92074910296e-17,12
