name,stim_type,xCoG
chisel,object,25.8224210823
chisel,non-object,25.2488043898
chisel2,object,-3.84729150124
chisel2,non-object,-3.24430393552
mallet,object,-38.1359159379
mallet,non-object,-37.6454623251
paintbrush,object,-30.6897921115
paintbrush,non-object,-30.6174621439
screwdriver,object,46.3571312645
screwdriver,non-object,46.4047095766
wrench,object,-22.3837053908
wrench,non-object,-22.3027106995
fork,object,-31.0319959052
fork,non-object,-30.3051923001
knife,object,-1.97018009304
knife,non-object,-1.2444053216
peeler,object,-0.384262651214
peeler,non-object,0.241738381174
sharpeningsteel,object,28.4188527416
sharpeningsteel,non-object,27.4956219826
spoon,object,-14.4180022509
spoon,non-object,-14.4770449464
spoon2,object,-12.3796717148
spoon2,non-object,-13.0232256478
washingbrush,object,-34.2563568121
washingbrush,non-object,-34.656325292
hammer,object,-49.0924872956
hammer,non-object,-49.0555481168
