RT,accuracy,aff_lum,block_count,cat,catch_trial,checkFixDotFailed,checkObjectFailed,comp,cond,correct_response,count_trial_sequence,cutoff_warning_msg,dev_for_warning,durCheck1,durCheck2,expId,eye_used,file,gap,handle_side,jitter_dur,large_fix_col,large_fix_size,latin_square_letter,mask_side,max_dev_fix,max_dev_object,max_samples,min_samples_fix,min_samples_object,n_blink,object,offlineDriftCorr,outlier,overall_rep,picture_name,rep,response,response_hand,rtOnset,sacc10_duration,sacc10_eTime,sacc10_ex,sacc10_ey,sacc10_sTime,sacc10_size,sacc10_sx,sacc10_sy,sacc1_duration,sacc1_eTime,sacc1_ex,sacc1_ey,sacc1_sTime,sacc1_size,sacc1_sx,sacc1_sy,sacc2_duration,sacc2_eTime,sacc2_ex,sacc2_ey,sacc2_sTime,sacc2_size,sacc2_sx,sacc2_sy,sacc3_duration,sacc3_eTime,sacc3_ex,sacc3_ey,sacc3_sTime,sacc3_size,sacc3_sx,sacc3_sy,sacc4_duration,sacc4_eTime,sacc4_ex,sacc4_ey,sacc4_sTime,sacc4_size,sacc4_sx,sacc4_sy,sacc5_duration,sacc5_eTime,sacc5_ex,sacc5_ey,sacc5_sTime,sacc5_size,sacc5_sx,sacc5_sy,sacc6_duration,sacc6_eTime,sacc6_ex,sacc6_ey,sacc6_sTime,sacc6_size,sacc6_sx,sacc6_sy,sacc7_duration,sacc7_eTime,sacc7_ex,sacc7_ey,sacc7_sTime,sacc7_size,sacc7_sx,sacc7_sy,sacc8_duration,sacc8_eTime,sacc8_ex,sacc8_ey,sacc8_sTime,sacc8_size,sacc8_sx,sacc8_sy,sacc9_duration,sacc9_eTime,sacc9_ex,sacc9_ey,sacc9_sTime,sacc9_size,sacc9_sx,sacc9_sy,saccCount,scale,scale_item,scaled_height,scaled_width,stim_onset,subject_parity,symm,timestampFixOnset,trialId,trial_count,visual_field,y_stim,y_stim_degrees,realAngle,xCog,xStim,yStim,flip,stim_name,stim_type,xRot1,yRot1,xFlipped1,yFlipped1,xNorm1,yNorm1,xNormOnCenter1,yNormOnCenter1,xNormCorr1,xRot2,yRot2,xFlipped2,yFlipped2,xNorm2,yNorm2,xNormOnCenter2,yNormOnCenter2,xNormCorr2,xRot3,yRot3,xFlipped3,yFlipped3,xNorm3,yNorm3,xNormOnCenter3,yNormOnCenter3,xNormCorr3,xRot4,yRot4,xFlipped4,yFlipped4,xNorm4,yNorm4,xNormOnCenter4,yNormOnCenter4,xNormCorr4,xRot5,yRot5,xFlipped5,yFlipped5,xNorm5,yNorm5,xNormOnCenter5,yNormOnCenter5,xNormCorr5,wBoxScaled,hBoxScaled,xCogScaled,xCogScaledDegr,xCogNorm,stimFile,saccLat1,saccLat2,saccLat3,saccLat4,saccLat5
968.807416486,1.0,control,0.0,garage,no,False,False,incompatible,('handle_left',,7.0,0.0,85.0,150.0,552.0,384.0,004A,undefined,SS06.asc,zero,left,436.390708588,black,32.0,C,control,25.0,50.0,4000.0,50.0,50.0,0.0,wrench,False,0.0,1.0,asymm_garage_wrench,1.0,7.0,right,13983412.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,36.0,13982293.0,518.7,581.7,13982257.0,213.178845104,482.6,371.6,17.0,13982504.0,558.3,577.7,13982487.0,41.4290960558,517.4,584.3,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,2.0,3.0,yes,180.0,240.0,13982058.0,even,asymm,13981497.0,0.0,0.0,lower,-211.0,-7.0,180.0,21.1258078553,0.0,-211.0,left,wrench,object,-6.7,-197.7,-6.7,-197.7,-0.0380681818182,-0.38,6.7,197.7,-0.0780791815441,-46.3,-193.7,-46.3,-193.7,-0.263068181818,-0.494285714286,46.3,193.7,-0.303079181544,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,176.0,35.0,7.04193595177,0.207115763287,0.0400109997259,object_wrench.png,199.0,429.0,0.0,0.0,0.0
189.151440967,1.0,control,0.0,kitchen,no,False,False,incompatible,('handle_right',,6.0,0.0,85.0,150.0,529.0,500.0,004A,undefined,SS06.asc,overlap,right,383.69055352,black,32.0,B,control,25.0,50.0,4000.0,50.0,50.0,0.0,spoon,False,0.0,1.0,asymm_kitchen_spoon,1.0,6.0,left,13995580.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,39.0,13995241.0,479.7,607.7,13995202.0,227.865442751,492.6,380.2,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,1.0,3.0,yes,180.0,240.0,13994889.0,even,asymm,13994349.0,3.0,3.0,lower,-236.0,-7.0,180.0,-13.4578679943,0.0,-236.0,right,spoon,object,32.3,-223.7,-32.3,-223.7,-0.175543478261,-0.41,-32.3,223.7,-0.151163282619,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,184.0,30.0,-4.4859559981,-0.131939882297,-0.0243801956418,object_spoon.png,313.0,0.0,0.0,0.0,0.0
818.058958955,1.0,control,0.0,kitchen,no,False,False,incompatible,('handle_right',,6.0,0.0,85.0,150.0,506.0,375.0,004A,undefined,SS06.asc,zero,right,355.243263637,black,32.0,B,control,25.0,50.0,4000.0,50.0,50.0,0.0,washingbrush,False,0.0,1.0,asymm_kitchen_washingbrush,1.0,6.0,left,14021407.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,37.0,14020437.0,515.1,186.2,14020400.0,206.858043112,510.2,393.0,17.0,14020611.0,464.3,184.6,14020594.0,44.5624281206,506.8,198.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,2.0,3.0,yes,180.0,240.0,14020212.0,even,asymm,14019702.0,9.0,9.0,upper,196.0,5.0,0.0,-30.890600737,0.0,196.0,right,washingbrush,object,3.1,-197.8,3.1,-197.8,0.0176136363636,0.0409090909091,3.1,-197.8,0.0761185620019,-47.7,-199.4,-47.7,-199.4,-0.271022727273,0.0772727272727,-47.7,-199.4,-0.212517801634,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,176.0,44.0,-10.2968669123,-0.302849026833,-0.0585049256383,object_washingbrush.png,188.0,382.0,0.0,0.0,0.0
730.826896038,1.0,control,0.0,kitchen,no,False,False,incompatible,('handle_right',,6.0,0.0,85.0,150.0,558.0,407.0,004A,undefined,SS06.asc,zero,right,438.292764572,black,32.0,B,control,25.0,50.0,4000.0,50.0,50.0,0.0,knife,False,0.0,1.0,asymm_kitchen_knife,1.0,6.0,left,14081218.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,31.0,14080332.0,500.3,550.1,14080301.0,184.340554409,489.1,366.1,14.0,14080536.0,520.3,591.6,14080522.0,36.6994550368,500.5,560.7,10.0,14080773.0,540.7,589.6,14080763.0,22.5390771772,518.3,592.1,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,3.0,3.0,yes,180.0,240.0,14080078.0,even,asymm,14079518.0,18.0,18.0,lower,-197.0,-6.0,180.0,1.81524104517,0.0,-197.0,right,knife,object,11.7,-166.1,-11.7,-166.1,-0.0664772727273,-1.40454545455,-11.7,166.1,-0.0699152292522,-8.3,-207.6,8.3,-207.6,0.0471590909091,0.481818181818,8.3,207.6,0.0437211343841,-28.7,-205.6,28.7,-205.6,0.163068181818,0.390909090909,28.7,205.6,0.159630225293,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,176.0,22.0,0.60508034839,0.017796480835,0.00343795652494,object_knife.png,223.0,444.0,685.0,0.0,0.0
515.180779092,1.0,control,0.0,garage,no,False,False,compatible,('handle_right',,7.0,0.0,85.0,150.0,564.0,458.0,004A,undefined,SS06.asc,overlap,right,455.386825088,black,32.0,B,control,25.0,50.0,4000.0,50.0,50.0,0.0,hammer,False,0.0,2.0,asymm_garage_hammer,2.0,7.0,right,14155441.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,33.0,14154781.0,469.5,569.9,14154748.0,174.431333194,491.8,396.9,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,1.0,3.0,yes,180.0,240.0,14154466.0,even,asymm,14153896.0,26.0,26.0,lower,-192.0,-6.0,180.0,-49.2380396484,0.0,-192.0,right,hammer,object,42.5,-185.9,-42.5,-185.9,-0.257575757576,-0.0743902439024,-42.5,185.9,-0.158104970407,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,165.0,82.0,-16.4126798828,-0.482725878906,-0.0994707871685,object_hammer.png,282.0,0.0,0.0,0.0,0.0
549.922821633,1.0,control,0.0,garage,no,False,False,compatible,('handle_right',,7.0,0.0,85.0,150.0,497.0,516.0,004A,undefined,SS06.asc,overlap,right,345.609714841,black,32.0,B,control,25.0,50.0,4000.0,50.0,50.0,0.0,chisel,False,0.0,2.0,asymm_garage_chisel,2.0,7.0,right,14168346.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,52.0,14167639.0,535.2,161.0,14167587.0,229.203883039,487.1,385.1,11.0,14167895.0,524.0,139.1,14167884.0,22.5800797164,537.5,157.2,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,2.0,3.0,yes,180.0,240.0,14167278.0,even,asymm,14166778.0,29.0,29.0,upper,197.0,5.0,0.0,24.5764355818,0.0,197.0,right,chisel,object,23.2,-223.0,23.2,-223.0,0.131818181818,0.896551724138,23.2,-223.0,0.0852719023072,12.0,-244.9,12.0,-244.9,0.0681818181818,1.65172413793,12.0,-244.9,0.0216355386708,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,176.0,29.0,8.19214519393,0.24094544688,0.046546279511,object_chisel.png,309.0,606.0,0.0,0.0,0.0
603.901116533,1.0,control,0.0,kitchen,no,False,False,compatible,('handle_left',,6.0,0.0,85.0,150.0,594.0,405.0,004A,undefined,SS06.asc,zero,left,444.775326338,black,32.0,C,control,25.0,50.0,4000.0,50.0,50.0,0.0,washingbrush,False,0.0,2.0,asymm_kitchen_washingbrush,2.0,6.0,left,14178050.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,48.0,14177291.0,550.1,147.2,14177243.0,250.654283825,496.7,392.1,16.0,14177461.0,579.0,130.4,14177445.0,35.5406809164,550.7,151.9,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,2.0,3.0,yes,180.0,240.0,14177039.0,even,asymm,14176439.0,31.0,31.0,upper,205.0,6.0,0.0,30.890600737,0.0,205.0,left,washingbrush,object,38.1,-236.8,-38.1,-236.8,-0.216477272727,0.722727272727,38.1,-236.8,-0.274982198366,67.0,-253.6,-67.0,-253.6,-0.380681818182,1.10454545455,67.0,-253.6,-0.43918674382,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,176.0,44.0,10.2968669123,0.302849026833,0.0585049256383,object_washingbrush.png,204.0,406.0,0.0,0.0,0.0
437.349060533,1.0,control,0.0,garage,no,False,False,compatible,('handle_right',,7.0,0.0,85.0,150.0,521.0,440.0,004A,undefined,SS06.asc,zero,right,368.428168768,black,32.0,B,control,25.0,50.0,4000.0,50.0,50.0,0.0,mallet,False,0.0,2.0,asymm_garage_mallet,2.0,7.0,right,14191199.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,33.0,14190609.0,462.1,548.6,14190576.0,165.418378665,489.1,385.4,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,1.0,3.0,yes,180.0,240.0,14190320.0,even,asymm,14189790.0,33.0,33.0,lower,-174.0,-6.0,180.0,-36.4525052012,0.0,-174.0,right,mallet,object,49.9,-164.6,-49.9,-164.6,-0.308024691358,-0.116049382716,-49.9,164.6,-0.233019536623,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,162.0,81.0,-12.1508350671,-0.357377501973,-0.075005154735,object_mallet.png,256.0,0.0,0.0,0.0,0.0
463.195792513,1.0,control,0.0,kitchen,no,False,False,compatible,('handle_left',,6.0,0.0,85.0,150.0,915.0,413.0,004A,undefined,SS06.asc,zero,left,508.431742978,black,32.0,C,control,25.0,50.0,4000.0,50.0,50.0,1.0,knife,False,0.0,2.0,asymm_kitchen_knife,2.0,6.0,left,14250305.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,35.0,14249690.0,467.9,584.5,14249655.0,199.351197639,484.0,385.8,23.0,14249954.0,526.0,604.6,14249931.0,53.4607332535,474.6,589.9,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,2.0,3.0,yes,180.0,240.0,14249427.0,even,asymm,14248507.0,40.0,40.0,lower,-213.0,-7.0,180.0,-1.81524104517,0.0,-213.0,left,knife,object,44.1,-200.5,44.1,-200.5,0.250568181818,-0.568181818182,-44.1,200.5,0.254006138343,-14.0,-220.6,-14.0,-220.6,-0.0795454545455,0.345454545455,14.0,220.6,-0.0761074980205,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,176.0,22.0,-0.60508034839,-0.017796480835,-0.00343795652494,object_knife.png,228.0,504.0,0.0,0.0,0.0
928.976085894,1.0,control,0.0,kitchen,no,False,False,incompatible,('handle_right',,6.0,0.0,85.0,150.0,555.0,383.0,004A,undefined,SS06.asc,zero,right,450.66291366,black,32.0,B,control,25.0,50.0,4000.0,50.0,50.0,0.0,spoon2,False,0.0,3.0,asymm_kitchen_spoon2,3.0,6.0,left,14259911.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,36.0,14258835.0,475.7,585.3,14258799.0,203.718948554,492.8,382.3,15.0,14258973.0,475.7,615.7,14258958.0,35.1035610729,475.2,580.6,18.0,14259360.0,450.9,626.1,14259342.0,25.367104683,475.9,621.8,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,3.0,3.0,yes,180.0,240.0,14258598.0,even,asymm,14258037.0,42.0,42.0,lower,-223.0,-7.0,180.0,-12.0262630064,0.0,-223.0,right,spoon2,object,36.3,-201.3,-36.3,-201.3,-0.20625,-0.493181818182,-36.3,201.3,-0.18347298673,36.3,-231.7,-36.3,-231.7,-0.20625,0.197727272727,-36.3,231.7,-0.18347298673,61.1,-242.1,-61.1,-242.1,-0.347159090909,0.434090909091,-61.1,242.1,-0.324382077639,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,176.0,44.0,-4.00875433547,-0.117904539278,-0.0227770132697,object_spoon2.png,201.0,360.0,744.0,0.0,0.0
