"('hammer', 'mask_left', 'right')","(-34.142039171134684, 3.6403482412985113, 'correction awayHandle')"
"('leveller', 'mask_left', 'right')","(16.306957121133223, 1.4737717295593029, 'correction towardsHandle')"
"('wrench', 'mask_left', 'right')","(-12.237949906364179, 1.481354370711756, 'correction smaller than 15')"
"('carrot', 'mask_control', 'right')","(7.0531931783484652, -2.5414449808951076, 'correction smaller than 15')"
"('peeler', 'mask_left', 'right')","(3.9751845896551004, -6.3319936802064376, 'correction smaller than 15')"
"('roller', 'mask_left', 'right')","(8.2230146990663116, -5.1233350252120999, 'correction smaller than 15')"
"('sharpeningsteel', 'mask_right', 'right')","(22.208294249398705, -7.8148430064542822, 'correction towardsHandle')"
"('fork', 'mask_left', 'left')","(31.565735487457005, -1.2077998498477882, 'correction awayHandle')"
"('chisel2', 'mask_right', 'right')","(-3.693049349577052, -1.5961911632560373, 'correction smaller than 15')"
"('ruler', 'mask_control', 'right')","(-6.9911555367081633, 5.4407710612608753, 'correction smaller than 15')"
"('chisel2', 'mask_right', 'left')","(-13.254132412323202, -2.9100016976773304, 'correction smaller than 15')"
"('hammer', 'mask_control', 'right')","(-49.238039648442907, 5.8504250274028209, 'correction awayHandle')"
"('hammer', 'mask_control', 'left')","(49.238039648442907, 5.8504250274028209, 'correction awayHandle')"
"('roller', 'mask_left', 'left')","(9.0084671407537371, -2.2136022105759139, 'correction smaller than 15')"
"('chisel2', 'mask_left', 'left')","(3.693049349577052, -1.5961911632560373, 'correction smaller than 15')"
"('fork', 'mask_left', 'right')","(-26.906104436066244, -1.4303430411453064, 'correction awayHandle')"
"('roller', 'mask_right', 'left')","(-8.2230146990663116, -5.1233350252120999, 'correction smaller than 15')"
"('carrot', 'mask_right', 'left')","(-11.740345771941293, -3.0927267535474243, 'correction smaller than 15')"
"('ruler', 'mask_right', 'left')","(-11.936519734193041, 5.501021536811038, 'correction smaller than 15')"
"('peeler', 'mask_control', 'left')","(0.7641027480845537, -6.1935068805628362, 'correction smaller than 15')"
"('mallet', 'mask_control', 'right')","(-36.452505201171562, 0.41677565302404673, 'correction awayHandle')"
"('knife', 'mask_control', 'left')","(-1.81524104517257, -7.8248962657203265, 'correction smaller than 15')"
"('washingbrush', 'mask_right', 'left')","(24.774145565133949, -12.37221281341283, 'correction awayHandle')"
"('leveller', 'mask_control', 'left')","(3.8552939966737085, 1.8229129435061964, 'correction smaller than 15')"
"('ruler', 'mask_left', 'left')","(13.684029506578725, 3.9459349319087096, 'correction smaller than 15')"
"('wrench', 'mask_control', 'right')","(-21.125807855262337, 1.7018335026132831, 'correction awayHandle')"
