_dummy,_prepare,_run,acc,accuracy,aspectRatio,auto_log,average_response_time,avg_rt,background,bidi,break_if,cal_beep,cal_target_size,canvas_backend,column_order,compensation,coordinates,correct,correct__boks,correct_boks,correct_continue_after_feedback,correct_continue_after_instructions,correct_continue_after_practice,correct_end_of_experiment_keypress,correct_response,count_TODO,count__eyelink_stop_recording,count__loop,count__practice_block_loop,count__practice_block_sequence,count_block_loop,count_block_sequence,count_cog_dict,count_constants,count_correct_response,count_display,count_end_of_experiment,count_end_of_experiment_keypress,count_end_of_practice,count_end_practice,count_experiment,count_experimental_loop,count_eyelink_calibrate,count_eyelink_drift_correct,count_eyelink_log,count_eyelink_start_recording,count_feedback_correct,count_feedback_incorrect,count_feedback_info,count_logger,count_loop,count_practice_block_loop,count_practice_block_sequence,count_practice_loop,count_ratio_px_degrees,count_reset_feedback,count_response_msg,count_rotate,count_sequence,count_start_practice,count_trial_sequence,currBlock,cycles,description,dev,direction,duration,ecc,feedback_dur,flip,flush,flush_keyboard,font_bold,font_family,font_italic,font_size,force_drift_correct,foreground,gap,hScaled,hStim,height,item,keyboard_backend,log_msg,maxEccDegr,minEccDegr,mode,mouse_backend,msg,note,order,path,practice,pxDegrRatio,realAngle,repeat,repeat_cycle,reset_variables,respNon,respObject,response,response__boks,response_boks,response_continue_after_feedback,response_continue_after_instructions,response_continue_after_practice,response_end_of_experiment_keypress,response_end_of_practice,response_time,response_time__boks,response_time_boks,response_time_continue_after_feedback,response_time_continue_after_instructions,response_time_continue_after_practice,response_time_end_of_experiment_keypress,response_time_end_of_practice,sacc_acc_thresh,sacc_vel_thresh,sampler_backend,scale,skip,start,start_response_interval,stimRotARadial,stimRotBRadial,stim_name,stim_type,subject_nr,subject_parity,synth_backend,throttle,time_TODO,time__eyelink_stop_recording,time__loop,time__practice_block_loop,time__practice_block_sequence,time_block_loop,time_block_sequence,time_cog_dict,time_constants,time_correct_response,time_display,time_end_of_experiment,time_end_of_experiment_keypress,time_end_of_practice,time_end_practice,time_experiment,time_experimental_loop,time_eyelink_calibrate,time_eyelink_drift_correct,time_eyelink_log,time_eyelink_start_recording,time_feedback_correct,time_feedback_incorrect,time_feedback_info,time_logger,time_loop,time_practice_block_loop,time_practice_block_sequence,time_practice_loop,time_ratio_px_degrees,time_reset_feedback,time_response_msg,time_rotate,time_sequence,time_start_practice,time_trial_sequence,timeout,title,totalBlocks,tracker_attached,transparent_variables,visual_field,wScaled,wStim,width,xCen,xCog,xStim,xpos,yCen,yStim,ypos,sacc1_ex,sacc2_ex,sacc3_ex,sacc1_ey,sacc2_ey,sacc3_ey,trialId,saccLat1,saccLat2,saccLat3
NA,NA,NA,undefined,undefined,1.33333333333,yes,undefined,undefined,white,no,NA,NA,NA,psycho,NA,0.0,relative,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,0.0,0.0,NA,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,0.0,NA,Logs experimental data,NA,-20.0,NA,206.0,0.0,right,NA,NA,no,mono,no,18.0,NA,black,zero,180.0,540.0,768.0,NA,psycho,NA,7.0,5.0,NA,psycho,NA,NA,NA,/home/sebastiaan/Data/0055 Lotje's single object displays/0055D Simulation 2/experiment/004C/object_paintbrush.png,no,34.0,-20.0,NA,0.0,NA,1.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,legacy,3.0,NA,experiment,None,-0.349065850399,1.5211772308,paintbrush,object,999.0,odd,legacy,NA,NA,NA,NA,NA,NA,520.684957504,520.573139191,NA,520.059108734,609.037160873,609.063148499,NA,NA,NA,NA,519.922018051,520.146131516,NA,NA,NA,NA,NA,NA,NA,656.598091125,NA,NA,NA,NA,520.112991333,NA,NA,520.091056824,NA,NA,608.957052231,NA,Extended template,NA,NA,no,upper,240.0,720.0,1024.0,512.0,-30.6897921115,79.0,NA,384.0,189.0,NA,547.0,618.0,580.0,178.0,213.0,211.0,0.0,91.4,180.6,2150.7
NA,NA,NA,undefined,undefined,1.33333333333,yes,undefined,undefined,white,no,NA,NA,NA,psycho,NA,0.0,relative,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.0,0.0,NA,0.0,1.0,1.0,0.0,NA,NA,NA,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,0.0,NA,NA,0.0,NA,NA,1.0,0.0,NA,Logs experimental data,NA,-20.0,NA,225.0,0.0,right,NA,NA,no,mono,no,18.0,NA,black,overlap,180.0,540.0,768.0,NA,psycho,NA,7.0,5.0,NA,psycho,NA,NA,NA,/home/sebastiaan/Data/0055 Lotje's single object displays/0055D Simulation 2/experiment/004C/non-object_wrench.png,no,34.0,160.0,NA,0.0,NA,1.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,legacy,3.0,NA,experiment,None,2.79252680319,1.60382536379,wrench,non-object,999.0,odd,legacy,NA,NA,NA,NA,NA,NA,520.684957504,520.573139191,NA,520.059108734,753.025054932,753.054141998,NA,NA,NA,NA,519.922018051,520.146131516,NA,NA,NA,NA,NA,NA,NA,803.841114044,NA,NA,NA,NA,520.112991333,NA,NA,520.091056824,NA,NA,752.941131592,NA,Extended template,NA,NA,no,lower,240.0,720.0,1024.0,512.0,-22.3027106995,-69.0,NA,384.0,-213.0,NA,512.0,411.0,487.0,382.0,586.0,602.0,1.0,91.3,177.9,658.0
NA,NA,NA,undefined,undefined,1.33333333333,yes,undefined,undefined,white,no,NA,NA,NA,psycho,NA,0.0,relative,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,0.0,0.0,NA,0.0,2.0,2.0,0.0,NA,NA,NA,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,0.0,NA,NA,0.0,NA,NA,2.0,0.0,NA,Logs experimental data,NA,-20.0,NA,205.0,0.0,left,NA,NA,no,mono,no,18.0,NA,black,zero,180.0,540.0,768.0,NA,psycho,NA,7.0,5.0,NA,psycho,NA,NA,NA,/home/sebastiaan/Data/0055 Lotje's single object displays/0055D Simulation 2/experiment/004C/object_wrench.png,no,34.0,160.0,NA,0.0,NA,1.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,legacy,3.0,NA,experiment,None,2.79252680319,1.53441611634,wrench,object,999.0,odd,legacy,NA,NA,NA,NA,NA,NA,520.684957504,520.573139191,NA,520.059108734,886.778116226,886.80100441,NA,NA,NA,NA,519.922018051,520.146131516,NA,NA,NA,NA,NA,NA,NA,934.103012085,NA,NA,NA,NA,520.112991333,NA,NA,520.091056824,NA,NA,886.690139771,NA,Extended template,NA,NA,no,lower,240.0,720.0,1024.0,512.0,22.3837053908,-77.0,NA,384.0,-189.0,NA,498.0,388.0,428.0,591.0,567.0,587.0,2.0,93.3,170.3,1000.8
NA,NA,NA,undefined,undefined,1.33333333333,yes,undefined,undefined,white,no,NA,NA,NA,psycho,NA,0.0,relative,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,0.0,0.0,NA,0.0,3.0,3.0,0.0,NA,NA,NA,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,3.0,NA,NA,NA,NA,0.0,NA,NA,0.0,NA,NA,3.0,0.0,NA,Logs experimental data,NA,0.0,NA,198.0,0.0,right,NA,NA,no,mono,no,18.0,NA,black,overlap,180.0,540.0,768.0,NA,psycho,NA,7.0,5.0,NA,psycho,NA,NA,NA,/home/sebastiaan/Data/0055 Lotje's single object displays/0055D Simulation 2/experiment/004C/object_peeler.png,no,34.0,0.0,NA,0.0,NA,1.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,legacy,3.0,NA,experiment,None,0.0,1.57014942006,peeler,object,999.0,odd,legacy,NA,NA,NA,NA,NA,NA,520.684957504,520.573139191,NA,520.059108734,1012.0010376,1012.02297211,NA,NA,NA,NA,519.922018051,520.146131516,NA,NA,NA,NA,NA,NA,NA,1051.13005638,NA,NA,NA,NA,520.112991333,NA,NA,520.091056824,NA,NA,1011.92617416,NA,Extended template,NA,NA,no,upper,240.0,720.0,1024.0,512.0,-0.384262651214,0.0,NA,384.0,197.0,NA,517.0,528.0,446.0,386.0,186.0,187.0,3.0,92.9,157.0,511.0
NA,NA,NA,undefined,undefined,1.33333333333,yes,undefined,undefined,white,no,NA,NA,NA,psycho,NA,0.0,relative,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,0.0,0.0,NA,0.0,4.0,4.0,0.0,NA,NA,NA,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,4.0,NA,NA,NA,NA,0.0,NA,NA,0.0,NA,NA,4.0,0.0,NA,Logs experimental data,NA,-20.0,NA,173.0,0.0,right,NA,NA,no,mono,no,18.0,NA,black,overlap,180.0,540.0,768.0,NA,psycho,NA,7.0,5.0,NA,psycho,NA,NA,NA,/home/sebastiaan/Data/0055 Lotje's single object displays/0055D Simulation 2/experiment/004C/object_chisel.png,no,34.0,160.0,NA,0.0,NA,1.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,legacy,3.0,NA,experiment,None,2.79252680319,1.52108313786,chisel,object,999.0,odd,legacy,NA,NA,NA,NA,NA,NA,520.684957504,520.573139191,NA,520.059108734,1129.45699692,1129.49204445,NA,NA,NA,NA,519.922018051,520.146131516,NA,NA,NA,NA,NA,NA,NA,1167.9110527,NA,NA,NA,NA,520.112991333,NA,NA,520.091056824,NA,NA,1129.31919098,NA,Extended template,NA,NA,no,lower,240.0,720.0,1024.0,512.0,25.8224210823,-67.0,NA,384.0,-159.0,NA,480.0,507.0,528.0,564.0,387.0,573.0,4.0,93.4,146.7,2373.4
NA,NA,NA,undefined,undefined,1.33333333333,yes,undefined,undefined,white,no,NA,NA,NA,psycho,NA,0.0,relative,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.0,0.0,NA,0.0,5.0,5.0,0.0,NA,NA,NA,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,5.0,NA,NA,NA,NA,0.0,NA,NA,0.0,NA,NA,5.0,0.0,NA,Logs experimental data,NA,-20.0,NA,190.0,0.0,right,NA,NA,no,mono,no,18.0,NA,black,overlap,180.0,540.0,768.0,NA,psycho,NA,7.0,5.0,NA,psycho,NA,NA,NA,/home/sebastiaan/Data/0055 Lotje's single object displays/0055D Simulation 2/experiment/004C/non-object_screwdriver.png,no,34.0,160.0,NA,0.0,NA,1.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,legacy,3.0,NA,experiment,None,2.79252680319,1.4895637061,screwdriver,non-object,999.0,odd,legacy,NA,NA,NA,NA,NA,NA,520.684957504,520.573139191,NA,520.059108734,1245.79811096,1245.82004547,NA,NA,NA,NA,519.922018051,520.146131516,NA,NA,NA,NA,NA,NA,NA,1285.16101837,NA,NA,NA,NA,520.112991333,NA,NA,520.091056824,NA,NA,1245.72300911,NA,Extended template,NA,NA,no,lower,240.0,720.0,1024.0,512.0,46.4047095766,-79.0,NA,384.0,-172.0,NA,510.0,479.0,420.0,381.0,572.0,540.0,5.0,91.5,177.1,570.1
NA,NA,NA,undefined,undefined,1.33333333333,yes,undefined,undefined,white,no,NA,NA,NA,psycho,NA,0.0,relative,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.0,0.0,NA,0.0,6.0,6.0,0.0,NA,NA,NA,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,6.0,NA,NA,NA,NA,0.0,NA,NA,0.0,NA,NA,6.0,0.0,NA,Logs experimental data,NA,0.0,NA,174.0,0.0,right,NA,NA,no,mono,no,18.0,NA,black,overlap,180.0,540.0,768.0,NA,psycho,NA,7.0,5.0,NA,psycho,NA,NA,NA,/home/sebastiaan/Data/0055 Lotje's single object displays/0055D Simulation 2/experiment/004C/non-object_mallet.png,no,34.0,180.0,NA,0.0,NA,1.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,legacy,3.0,NA,experiment,None,3.14159265359,1.64278943204,mallet,non-object,999.0,odd,legacy,NA,NA,NA,NA,NA,NA,520.684957504,520.573139191,NA,520.059108734,1363.67297173,1363.69609833,NA,NA,NA,NA,519.922018051,520.146131516,NA,NA,NA,NA,NA,NA,NA,1401.24416351,NA,NA,NA,NA,520.112991333,NA,NA,520.091056824,NA,NA,1363.59119415,NA,Extended template,NA,NA,no,lower,240.0,720.0,1024.0,512.0,-37.6454623251,12.0,NA,384.0,-173.0,NA,494.0,511.0,577.0,562.0,378.0,563.0,6.0,91.3,147.1,308.9
NA,NA,NA,undefined,undefined,1.33333333333,yes,undefined,undefined,white,no,NA,NA,NA,psycho,NA,0.0,relative,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.0,0.0,NA,0.0,7.0,7.0,0.0,NA,NA,NA,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,7.0,NA,NA,NA,NA,0.0,NA,NA,0.0,NA,NA,7.0,0.0,NA,Logs experimental data,NA,20.0,NA,184.0,0.0,left,NA,NA,no,mono,no,18.0,NA,black,zero,180.0,540.0,768.0,NA,psycho,NA,7.0,5.0,NA,psycho,NA,NA,NA,/home/sebastiaan/Data/0055 Lotje's single object displays/0055D Simulation 2/experiment/004C/non-object_chisel.png,no,34.0,20.0,NA,0.0,NA,1.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,legacy,3.0,NA,experiment,None,0.349065850399,1.52508759865,chisel,non-object,999.0,odd,legacy,NA,NA,NA,NA,NA,NA,520.684957504,520.573139191,NA,520.059108734,1480.80015182,1480.82399368,NA,NA,NA,NA,519.922018051,520.146131516,NA,NA,NA,NA,NA,NA,NA,1518.77307892,NA,NA,NA,NA,520.112991333,NA,NA,520.091056824,NA,NA,1480.7240963,NA,Extended template,NA,NA,no,upper,240.0,720.0,1024.0,512.0,-25.2488043898,-54.0,NA,384.0,175.0,NA,413.0,494.0,460.0,224.0,194.0,240.0,7.0,90.6,174.7,1865.3
NA,NA,NA,undefined,undefined,1.33333333333,yes,undefined,undefined,white,no,NA,NA,NA,psycho,NA,0.0,relative,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,0.0,0.0,NA,0.0,8.0,8.0,0.0,NA,NA,NA,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,8.0,NA,NA,NA,NA,0.0,NA,NA,0.0,NA,NA,8.0,0.0,NA,Logs experimental data,NA,0.0,NA,209.0,0.0,left,NA,NA,no,mono,no,18.0,NA,black,overlap,180.0,540.0,768.0,NA,psycho,NA,7.0,5.0,NA,psycho,NA,NA,NA,/home/sebastiaan/Data/0055 Lotje's single object displays/0055D Simulation 2/experiment/004C/object_peeler.png,no,34.0,180.0,NA,0.0,NA,1.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,legacy,3.0,NA,experiment,None,3.14159265359,1.57018346778,peeler,object,999.0,odd,legacy,NA,NA,NA,NA,NA,NA,520.684957504,520.573139191,NA,520.059108734,1597.12314606,1597.14603424,NA,NA,NA,NA,519.922018051,520.146131516,NA,NA,NA,NA,NA,NA,NA,1633.82005692,NA,NA,NA,NA,520.112991333,NA,NA,520.091056824,NA,NA,1597.04208374,NA,Extended template,NA,NA,no,lower,240.0,720.0,1024.0,512.0,0.384262651214,0.0,NA,384.0,-208.0,NA,513.0,499.0,583.0,378.0,595.0,586.0,8.0,92.1,165.3,486.8
NA,NA,NA,undefined,undefined,1.33333333333,yes,undefined,undefined,white,no,NA,NA,NA,psycho,NA,0.0,relative,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,0.0,0.0,NA,0.0,9.0,9.0,0.0,NA,NA,NA,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,9.0,NA,NA,NA,NA,0.0,NA,NA,0.0,NA,NA,9.0,0.0,NA,Logs experimental data,NA,-20.0,NA,221.0,0.0,right,NA,NA,no,mono,no,18.0,NA,black,zero,180.0,540.0,768.0,NA,psycho,NA,7.0,5.0,NA,psycho,NA,NA,NA,/home/sebastiaan/Data/0055 Lotje's single object displays/0055D Simulation 2/experiment/004C/object_chisel2.png,no,34.0,160.0,NA,0.0,NA,1.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,legacy,3.0,NA,experiment,None,2.79252680319,1.57659911461,chisel2,object,999.0,odd,legacy,NA,NA,NA,NA,NA,NA,520.684957504,520.573139191,NA,520.059108734,1714.65301514,1714.67709541,NA,NA,NA,NA,519.922018051,520.146131516,NA,NA,NA,NA,NA,NA,NA,1752.79808044,NA,NA,NA,NA,520.112991333,NA,NA,520.091056824,NA,NA,1714.57505226,NA,Extended template,NA,NA,no,lower,240.0,720.0,1024.0,512.0,-3.84729150124,-74.0,NA,384.0,-208.0,NA,447.0,368.0,515.0,585.0,573.0,627.0,9.0,91.5,159.3,328.8
