stim_name,stim_type,mean,median,std,se,95ci,count
chisel,non-object,0.0486489487279,0.0486489487279,1.39117604114e-16,9.71639493882e-18,1.90441340801e-17,205
chisel,object,0.0489061005347,0.0489061005347,7.65165299749e-17,5.37040758533e-18,1.05259988672e-17,203
chisel2,non-object,-0.00614451502939,-0.00614451502939,2.60855003191e-17,1.83536939776e-18,3.59732401961e-18,202
chisel2,object,-0.00728653693417,-0.00728653693417,1.91300843103e-17,1.35609572178e-18,2.65794761468e-18,199
fork,non-object,-0.0594219456865,-0.0594219456865,1.32158594302e-16,9.18565728449e-18,1.80038882776e-17,207
fork,object,-0.0553155007223,-0.0553155007223,6.26116237885e-17,4.49525261233e-18,8.81069512016e-18,194
hammer,non-object,-0.0929082350697,-0.0929082350697,1.25207348029e-16,8.76626779097e-18,1.71818848703e-17,204
hammer,object,-0.0991767420113,-0.0991767420113,1.25207348029e-16,8.76626779097e-18,1.71818848703e-17,204
knife,non-object,-0.00235682826061,-0.00235682826061,7.39080119076e-18,5.18732550855e-19,1.01671579968e-18,203
knife,object,-0.00373140169136,-0.00373140169136,5.65165266714e-18,3.9472854439e-19,7.73667947004e-19,205
mallet,non-object,-0.0760514390406,-0.0760514390406,4.17347846783e-16,2.90780023297e-17,5.69928845662e-17,206
mallet,object,-0.0784689628352,-0.0784689628352,4.45176333165e-16,3.10924638042e-17,6.09412290563e-17,205
paintbrush,non-object,-0.0560759379925,-0.0560759379925,6.95555393726e-18,4.8112572626e-19,9.4300642347e-19,209
paintbrush,object,-0.0581246062718,-0.0581246062718,1.25205843703e-16,8.74475544494e-18,1.71397206721e-17,205
peeler,non-object,0.000503621627446,0.000503621627446,2.17373868106e-18,1.52192149149e-19,2.98296612332e-19,204
peeler,object,-0.00088949687781,-0.00088949687781,1.1955276861e-18,8.32963608403e-20,1.63260867247e-19,206
screwdriver,non-object,0.0878877075314,0.0878877075314,4.03542099e-16,2.9589142304e-17,5.79947189158e-17,186
screwdriver,object,0.0908963358127,0.0908963358127,1.25208867232e-16,8.78793968508e-18,1.72243617828e-17,203
sharpeningsteel,non-object,0.0520750416337,0.0520750416337,2.08711045019e-17,1.50624222531e-18,2.9522347616e-18,192
sharpeningsteel,object,0.0523367453805,0.0523367453805,1.59989108129e-16,1.1229034042e-17,2.20089067224e-17,203
spoon,non-object,-0.0274186457318,-0.0274186457318,1.11288862996e-16,7.69801162017e-18,1.50881027755e-17,209
spoon,object,-0.0261195692951,-0.0261195692951,7.99897947221e-17,5.54629435355e-18,1.0870736933e-17,208
spoon2,non-object,-0.0242518168488,-0.0242518168488,0.0,0.0,0.0,209
spoon2,object,-0.0234463479447,-0.0234463479447,5.91249817485e-17,4.129467849e-18,8.09375698404e-18,205
washingbrush,non-object,-0.0656369797197,-0.0656369797197,1.11290149179e-16,7.71658344841e-18,1.51245035589e-17,208
washingbrush,object,-0.0648794636593,-0.0648794636593,1.9477904025e-16,1.38075200763e-17,2.70627393495e-17,199
wrench,non-object,-0.0429724676291,-0.0429724676291,9.04308536126e-17,6.3785006134e-18,1.25018612023e-17,201
wrench,object,-0.042393381422,-0.042393381422,1.39120963591e-16,9.76437742787e-18,1.91381797586e-17,203
