stim_name,stim_type,mean,median,std,se,95ci,count
chisel,non-object,0.247537297939,0.247537297939,8.06882103862e-16,5.63550906452e-17,1.10455977665e-16,205
chisel,object,0.253160991003,0.253160991003,0.0,0.0,0.0,203
chisel2,non-object,-0.0318069013286,-0.0318069013286,3.47806670922e-17,2.44715919701e-18,4.79643202615e-18,202
chisel2,object,-0.0377185441298,-0.0377185441298,1.39127885893e-16,9.86251434019e-18,1.93305281068e-17,199
fork,non-object,-0.297109728432,-0.297109728432,5.00811515249e-16,3.48088065517e-17,6.82252608414e-17,207
fork,object,-0.304235253973,-0.304235253973,8.90476427214e-16,6.39324815975e-17,1.25307663931e-16,194
hammer,non-object,-0.480936746243,-0.480936746243,2.0589652787e-15,1.44156403674e-16,2.825465512e-16,204
hammer,object,-0.481298895055,-0.481298895055,1.22424962517e-15,8.57146184006e-17,1.68000652065e-16,204
knife,non-object,-0.0122000521725,-0.0122000521725,4.5214313167e-17,3.17342266406e-18,6.21990842155e-18,203
knife,object,-0.0193154911082,-0.0193154911082,5.21691015428e-17,3.64364810206e-18,7.14155028004e-18,205
mallet,non-object,-0.36907316005,-0.36907316005,1.05728121185e-15,7.36642725686e-17,1.44381974234e-16,206
mallet,object,-0.373881528803,-0.373881528803,1.72505829102e-15,1.20483297241e-16,2.36147262593e-16,205
paintbrush,non-object,-0.300171197489,-0.300171197489,0.0,0.0,0.0,209
paintbrush,object,-0.300880314819,-0.300880314819,1.3355289995e-15,9.32773914127e-17,1.82823687169e-16,205
peeler,non-object,0.00236998412916,0.00236998412916,5.21697283455e-18,3.65261157957e-19,7.15911869596e-19,204
peeler,object,-0.00376728089425,-0.00376728089425,1.3042120212e-17,9.08687572804e-19,1.7810276427e-18,206
screwdriver,non-object,0.454948133104,0.454948133104,1.66982937517e-15,1.22437830223e-16,2.39978147238e-16,186
screwdriver,object,0.454481679064,0.454481679064,1.55815479222e-15,1.09361027192e-16,2.14347613297e-16,203
sharpeningsteel,non-object,0.269564921398,0.269564921398,3.89593950702e-16,2.8116521539e-17,5.51083822165e-17,192
sharpeningsteel,object,0.278616203349,0.278616203349,1.05731932329e-15,7.42092684518e-17,1.45450166165e-16,203
spoon,non-object,-0.1419318132,-0.1419318132,4.45155451985e-16,3.07920464807e-17,6.03524111021e-17,209
spoon,object,-0.141352963244,-0.141352963244,3.6169298483e-16,2.50788962073e-17,4.91546365664e-17,208
spoon2,non-object,-0.127678682822,-0.127678682822,3.06044373239e-16,2.11695319555e-17,4.14922826327e-17,209
spoon2,object,-0.121369330537,-0.121369330537,4.17352812343e-17,2.91491848165e-18,5.71324022403e-18,205
washingbrush,non-object,-0.33976789502,-0.33976789502,1.61370716309e-15,1.11890460002e-16,2.19305301604e-16,208
washingbrush,object,-0.335846635413,-0.335846635413,6.12162697928e-16,4.33950630968e-17,8.50543236698e-17,199
wrench,non-object,-0.218654026466,-0.218654026466,1.39124390173e-16,9.81307786677e-18,1.92336326189e-17,201
wrench,object,-0.219448092067,-0.219448092067,5.00835468927e-16,3.51517587403e-17,6.8897447131e-17,203
