RT,accuracy,aff_lum,block_count,boxHeight,boxWidth,cat,catch_trial,comp,contrast_side,corrDirection,corrDirectionMask,correct_response,cutoff_warning_msg,dev_for_warning,durationFix1,durationFix2,durationFix3,eTimeSacc1,eTimeSacc2,eTimeSacc3,endX1,endX1Corr,endX1CorrDegrees,endX1CorrMask,endX1CorrMaskDegrees,endX1CorrMaskNorm,endX1CorrNorm,endX1CorrNormToContrast,endX1CorrNormToHandle,endX1Degrees,endX1Norm,endX1NormToContrast,endX1NormToHandle,endX2,endX2Corr,endX2CorrDegrees,endX2CorrMask,endX2CorrMaskDegrees,endX2CorrMaskNorm,endX2CorrNorm,endX2CorrNormToContrast,endX2CorrNormToHandle,endX2Degrees,endX2Norm,endX2NormToContrast,endX2NormToHandle,endX3,endX3Corr,endX3CorrDegrees,endX3CorrMask,endX3CorrMaskDegrees,endX3CorrMaskNorm,endX3CorrNorm,endX3CorrNormToContrast,endX3CorrNormToHandle,endX3Degrees,endX3Norm,endX3NormToContrast,endX3NormToHandle,endXRaw1,endXRaw2,endXRaw3,endY1,endY1Corr,endY1CorrNorm,endY1Degrees,endY1Norm,endY2,endY2Corr,endY2CorrNorm,endY2Degrees,endY2Norm,endY3,endY3Corr,endY3CorrNorm,endY3Degrees,endY3Norm,endYRaw1,endYRaw2,endYRaw3,eye_used,file,fixCount,gap,gazeDur,handle_side,jitter_dur,large_fix_col,large_fix_size,latin_square_letter,mask_side,max_dev_fix,max_dev_object,max_samples,min_samples_fix,min_samples_object,n_blink,object,outlier,overall_rep,picture_name,refixProb,rep,response,response_hand,rtFromLanding,rtFromStim,sTimeSacc1,sTimeSacc2,sTimeSacc3,saccCount,saccDur1,saccDur2,saccDur3,saccLandingTime1,saccLandingTime2,saccLandingTime3,saccLat1,saccLat2,saccLat3,scale,scale_item,scaled_height,scaled_width,startX1,startX1Corr,startX1CorrDegrees,startX1CorrMask,startX1CorrMaskDegrees,startX1CorrMaskNorm,startX1CorrNorm,startX1Degrees,startX1Norm,startX2,startX2Corr,startX2CorrDegrees,startX2CorrMask,startX2CorrMaskDegrees,startX2CorrMaskNorm,startX2CorrNorm,startX2Degrees,startX2Norm,startX3,startX3Corr,startX3CorrDegrees,startX3CorrMask,startX3CorrMaskDegrees,startX3CorrMaskNorm,startX3CorrNorm,startX3Degrees,startX3Norm,startXRaw1,startXRaw2,startXRaw3,startY1,startY1Corr,startY1CorrNorm,startY1Degrees,startY1Norm,startY2,startY2Corr,startY2CorrNorm,startY2Degrees,startY2Norm,startY3,startY3Corr,startY3CorrNorm,startY3Degrees,startY3Norm,startYRaw1,startYRaw2,startYRaw3,stimOnset,subject_parity,symm,timestampFixOnset,timestampResponse,trialId,trial_count,visual_field,xCoG,xCoGMask,xFix1,xFix2,xFix3,xStimNormal,yCoG,yCoGMask,yCoGMaskZero,yCoGZero,yFix1,yFix2,yFix3,yStimNormal,y_stim,y_stim_degrees,driftCorr,exp,heavySide,half,sacc_dir
830.753822085,1.0,control,0.0,64.3333333333,165.666666667,garage,no,incompatible,control, 'correction awayHandle', 'correction awayHandle',2.0,85.0,150.0,141,560,,20823162.0,20823323,,-17.3,-66.5380396484,-2.01630423177,-66.5380396484,-2.01630423177,-0.401638066288,-0.401638066288,,0.401638066288,-0.524242424242,-0.104426559356,,0.104426559356,13.8,-35.4380396484,-1.07387998935,-35.4380396484,-1.07387998935,-0.213911708139,-0.213911708139,,0.213911708139,0.418181818182,0.0832997987928,,-0.0832997987928,,,,,,,,,,,,,,494.7,525.8,,-12.0,-17.8504250274,-0.27746774654,-0.363636363636,-0.186528497409,5.5,-0.350425027403,-0.00544702115134,0.166666666667,0.0854922279793,,,,,,544.0,561.5,,undefined,00404.asc,2.0,zero,701.0,left,352.109656422,black,32.0,A,control,25.0,50.0,4000.0,50.0,50.0,0.0,hammer,0.0,1.0,asymm_garage_hammer,1.0,1.0,2.0,right,624.0,835.0,20823111.0,20823305,,2.0,51.0,18,,211.0,372,,160.0,354,,3.0,yes,180.0,240.0,6.7,-42.5380396484,-1.2890315045,-42.5380396484,-1.2890315045,-0.256768850997,-0.256768850997,0.20303030303,0.0404426559356,-27.2,-76.4380396484,-2.31630423177,-76.4380396484,-2.31630423177,-0.461396617596,-0.461396617596,-0.824242424242,-0.164185110664,,,,,,,,,,518.7,484.8,,-216.9,-222.750425027,-3.4624418398,-6.57272727273,-3.37150259067,23.8,17.9495749726,0.279008937398,0.721212121212,0.369948186528,,,,,,339.1,579.8,,20822951.0,even,asymm,20822591.0,20823786.0,10396.0,10.0,lower,49.2380396484,49.2380396484,-26.4,7.7,,462.761960352,561.850425027,561.850425027,5.8504250274,5.8504250274,192.3,186.6,,556.0,-172.0,-6.0,True,004B,right__,first,544.0
1304.79503852,1.0,control,0.0,42.6666666667,176.0,kitchen,no,compatible,control, 'correction smaller than 15', 'correction smaller than 15',1.0,85.0,150.0,264,407,400,20834087.0,20834375,20834804,8.4,-3.62626300639,-0.10988675777,-3.62626300639,-0.10988675777,-0.0206037670818,-0.0206037670818,,0.0206037670818,0.254545454545,0.0477272727273,,-0.0477272727273,46.3,34.2737369936,1.03859809072,34.2737369936,1.03859809072,0.194737142009,0.194737142009,,-0.194737142009,1.40303030303,0.263068181818,,-0.263068181818,-6.8,-18.8262630064,-0.570492818376,-18.8262630064,-0.570492818376,-0.106967403445,-0.106967403445,,0.106967403445,-0.206060606061,-0.0386363636364,,0.0386363636364,520.4,558.3,505.2,-55.5,-57.9647558943,-1.35854896627,-1.68181818182,-1.30078125,-6.9,-9.36475589433,-0.219486466273,-0.209090909091,-0.16171875,4.8,2.33524410567,0.0547322837266,0.145454545455,0.1125,541.5,590.1,601.8,undefined,00404.asc,3.0,overlap,1071.0,left,328.048635618,black,32.0,A,control,25.0,50.0,4000.0,50.0,50.0,0.0,spoon2,0.0,1.0,asymm_kitchen_spoon2,1.0,1.0,1.0,left,1015.0,1310.0,20834038.0,20834353,20834784,3.0,49.0,22,20,295.0,583,1012,246.0,561,992,3.0,yes,180.0,240.0,0.2,-11.8262630064,-0.358371606254,-11.8262630064,-0.358371606254,-0.0671946761727,-0.0671946761727,0.00606060606061,0.00113636363636,2.9,-9.12626300639,-0.276553424436,-9.12626300639,-0.276553424436,-0.0518537670818,-0.0518537670818,0.0878787878788,0.0164772727273,45.9,33.8737369936,1.02647687859,33.8737369936,1.02647687859,0.192464414736,0.192464414736,1.39090909091,0.260795454545,512.2,514.9,557.9,-225.6,-228.064755894,-5.34526771627,-6.83636363636,-5.2875,-15.9,-18.3647558943,-0.430423966273,-0.481818181818,-0.37265625,1.3,-1.16475589433,-0.0272989662734,0.0393939393939,0.03046875,371.4,581.1,598.3,20833792.0,even,asymm,20833452.0,20835102.0,10398.0,12.0,lower,12.0262630064,12.0262630064,2.3,43.9,-5.3,499.973736994,599.464755894,599.464755894,2.46475589433,2.46475589433,194.2,210.7,213.2,597.0,-213.0,-7.0,True,004B,right__,first,541.5
873.586563084,1.0,control,0.0,24.0,176.0,garage,no,compatible,control, 'correction towardsHandle', 'correction towardsHandle',2.0,85.0,150.0,749,,,20847006.0,,,-31.1,-55.6764355818,-1.6871647146,-55.6764355818,-1.6871647146,-0.316343383988,-0.316343383988,,-0.316343383988,-0.942424242424,-0.176704545455,,-0.176704545455,,,,,,,,,,,,,,,,,,,,,,,,,,,480.9,,,-21.8,-18.7027401217,-0.779280838402,-0.660606060606,-0.908333333333,,,,,,,,,,,560.2,,,undefined,00404.asc,1.0,zero,749.0,right,241.657912017,black,32.0,C,control,25.0,50.0,4000.0,50.0,50.0,0.0,chisel,0.0,2.0,asymm_garage_chisel,0.0,2.0,2.0,right,655.0,878.0,20846950.0,,,1.0,56.0,,,223.0,,,167.0,,,3.0,yes,180.0,240.0,-7.6,-32.1764355818,-0.97504350248,-32.1764355818,-0.97504350248,-0.182820656715,-0.182820656715,-0.230303030303,-0.0431818181818,,,,,,,,,,,,,,,,,,,504.4,,,-197.8,-194.702740122,-8.11261417174,-5.99393939394,-8.24166666667,,,,,,,,,,,384.2,,,20846783.0,even,asymm,20846533.0,20847661.0,10400.0,14.0,lower,24.5764355818,24.5764355818,-34.3,,,487.423564418,578.902740122,578.902740122,-3.09725987834,-3.09725987834,196.1,,,582.0,-198.0,-6.0,True,004B,right__,first,560.2
698.234451281,1.0,control,0.0,32.0,176.0,garage,no,incompatible,control, 'correction awayHandle', 'correction awayHandle',2.0,85.0,150.0,153,468,,20882376.0,20882552,,1.1,-20.0258078553,-0.606842662281,-20.0258078553,-0.606842662281,-0.113782999178,-0.113782999178,,0.113782999178,0.0333333333333,0.00625,,-0.00625,31.0,9.87419214474,0.29921794378,9.87419214474,0.29921794378,0.0561033644587,0.0561033644587,,-0.0561033644587,0.939393939394,0.176136363636,,-0.176136363636,,,,,,,,,,,,,,513.1,543.0,,0.9,-0.801833502613,-0.0250572969567,0.0272727272727,0.028125,-21.5,-23.2018335026,-0.725057296957,-0.651515151515,-0.671875,,,,,,202.9,180.5,,undefined,00404.asc,2.0,overlap,621.0,left,440.836921764,black,32.0,A,control,25.0,50.0,4000.0,50.0,50.0,0.0,wrench,0.0,2.0,asymm_garage_wrench,1.0,2.0,2.0,right,547.0,706.0,20882344.0,20882531,,2.0,32.0,21,,159.0,335,,127.0,314,,3.0,yes,180.0,240.0,6.1,-15.0258078553,-0.455327510766,-15.0258078553,-0.455327510766,-0.0853739082685,-0.0853739082685,0.184848484848,0.0346590909091,-4.7,-25.8258078553,-0.782600238038,-25.8258078553,-0.782600238038,-0.146737544632,-0.146737544632,-0.142424242424,-0.0267045454545,,,,,,,,,,518.1,507.3,,190.7,188.998166497,5.90619270304,5.77878787879,5.959375,-7.4,-9.10183350261,-0.284432296957,-0.224242424242,-0.23125,,,,,,392.7,194.6,,20882217.0,even,asymm,20881767.0,20882923.0,10405.0,19.0,upper,21.1258078553,21.1258078553,-3.8,26.5,,490.874192145,203.701833503,203.701833503,1.70183350261,1.70183350261,-187.0,-199.9,,202.0,182.0,5.0,True,004B,right__,first,586.9
959.90456843,1.0,control,0.0,32.3333333333,187.0,kitchen,no,incompatible,control, 'correction awayHandle', 'correction awayHandle',1.0,85.0,150.0,163,650,,20888817.0,20889000,,-10.3,21.8684136693,0.662679202098,21.8684136693,0.662679202098,0.116943388606,0.116943388606,,0.116943388606,-0.312121212121,-0.0550802139037,,-0.0550802139037,-20.4,11.7684136693,0.356618596038,11.7684136693,0.356618596038,0.0629326934185,0.0629326934185,,0.0629326934185,-0.618181818182,-0.109090909091,,-0.109090909091,,,,,,,,,,,,,,501.7,491.6,,-10.5,-9.45127860487,-0.292307585718,-0.318181818182,-0.324742268041,28.2,29.2487213951,0.904599630777,0.854545454545,0.872164948454,,,,,,567.5,606.2,,undefined,00404.asc,2.0,overlap,813.0,right,439.846987727,black,32.0,C,control,25.0,50.0,4000.0,50.0,50.0,0.0,fork,0.0,1.0,asymm_kitchen_fork,1.0,1.0,1.0,left,738.0,967.0,20888764.0,20888982,,2.0,53.0,18,,229.0,412,,176.0,394,,3.0,yes,180.0,240.0,-4.7,27.4684136693,0.832376171795,27.4684136693,0.832376171795,0.14688991267,0.14688991267,-0.142424242424,-0.0251336898396,-14.0,18.1684136693,0.550557989977,18.1684136693,0.550557989977,0.0971572923489,0.0971572923489,-0.424242424242,-0.0748663101604,,,,,,,,,,507.3,498.0,,-189.0,-187.951278605,-5.81292614242,-5.72727272727,-5.84536082474,6.2,7.24872139513,0.224187259643,0.187878787879,0.19175257732,,,,,,389.0,584.2,,20888588.0,even,asymm,20888138.0,20889555.0,10406.0,20.0,lower,-32.1684136693,-32.1684136693,-13.9,-16.7,,544.168413669,576.951278605,576.951278605,-1.04872139513,-1.04872139513,202.3,222.5,,578.0,-194.0,-6.0,True,004B,left__,first,567.5
856.067169648,1.0,control,0.0,43.3333333333,176.333333333,kitchen,no,compatible,control, 'correction awayHandle', 'correction awayHandle',1.0,85.0,150.0,107,639,,20896890.0,20897022,,-32.1,-62.990600737,-1.90880608294,-62.990600737,-1.90880608294,-0.357224578849,-0.357224578849,,0.357224578849,-0.972727272727,-0.182041587902,,0.182041587902,30.5,-0.390600736957,-0.0118363859684,-0.390600736957,-0.0118363859684,-0.00221512705268,-0.00221512705268,,0.00221512705268,0.924242424242,0.172967863894,,-0.172967863894,,,,,,,,,,,,,,479.9,542.5,,-22.0,-10.20931181,-0.235599503309,-0.666666666667,-0.507692307692,-6.5,5.29068818995,0.122092804383,-0.19696969697,-0.15,,,,,,560.0,575.5,,undefined,00404.asc,2.0,zero,746.0,left,455.174574793,black,32.0,A,control,25.0,50.0,4000.0,50.0,50.0,0.0,washingbrush,0.0,1.0,asymm_kitchen_washingbrush,1.0,1.0,1.0,left,672.0,863.0,20896839.0,20896999,,2.0,51.0,23,,191.0,323,,140.0,300,,3.0,yes,180.0,240.0,0.7,-30.190600737,-0.914866688999,-30.190600737,-0.914866688999,-0.171213236694,-0.171213236694,0.0212121212121,0.00396975425331,-42.0,-72.890600737,-2.20880608294,-72.890600737,-2.20880608294,-0.413368246145,-0.413368246145,-1.27272727273,-0.238185255198,,,,,,,,,,512.7,470.0,,-208.7,-196.90931181,-4.54406104177,-6.32424242424,-4.81615384615,6.1,17.89068819,0.412862035153,0.184848484848,0.140769230769,,,,,,373.3,588.1,,20896699.0,even,asymm,20896239.0,20897562.0,10407.0,21.0,lower,30.890600737,30.890600737,-42.5,24.9,,481.109399263,570.20931181,570.20931181,-11.79068819,-11.79068819,202.4,202.0,,582.0,-198.0,-6.0,True,004B,right__,first,560.0
802.758991049,1.0,control,0.0,66.6666666667,162.666666667,garage,no,incompatible,control, 'correction awayHandle', 'correction awayHandle',2.0,85.0,150.0,179,443,,20901658.0,20901859,,0.5,-35.9525052012,-1.08946985458,-35.9525052012,-1.08946985458,-0.221019499188,-0.221019499188,,0.221019499188,0.0151515151515,0.0030737704918,,-0.0030737704918,22.6,-13.8525052012,-0.419772884884,-13.8525052012,-0.419772884884,-0.0851588434498,-0.0851588434498,,0.0851588434498,0.684848484848,0.13893442623,,-0.13893442623,,,,,,,,,,,,,,512.5,534.6,,-52.7,-53.116775653,-0.796751634795,-1.59696969697,-0.7905,-10.1,-10.516775653,-0.157751634795,-0.306060606061,-0.1515,,,,,,507.3,549.9,,undefined,00404.asc,2.0,overlap,622.0,left,470.47464447,black,32.0,A,control,25.0,50.0,4000.0,50.0,50.0,0.0,mallet,0.0,2.0,asymm_garage_mallet,1.0,2.0,2.0,right,549.0,808.0,20901611.0,20901839,,2.0,47.0,20,,259.0,460,,212.0,440,,3.0,yes,180.0,240.0,6.1,-30.3525052012,-0.919772884884,-30.3525052012,-0.919772884884,-0.186593269679,-0.186593269679,0.184848484848,0.0375,-3.7,-40.1525052012,-1.21674258185,-40.1525052012,-1.21674258185,-0.246839171319,-0.246839171319,-0.112121212121,-0.0227459016393,,,,,,,,,,518.1,508.3,,-169.4,-169.816775653,-2.5472516348,-5.13333333333,-2.541,-19.5,-19.916775653,-0.298751634795,-0.590909090909,-0.2925,,,,,,390.6,540.5,,20901399.0,even,asymm,20900919.0,20902207.0,10408.0,22.0,lower,36.4525052012,36.4525052012,-5.1,20.4,,475.547494799,560.416775653,560.416775653,0.416775653024,0.416775653024,154.5,165.7,,560.0,-176.0,-6.0,True,004B,right__,first,507.3
694.789873257,1.0,control,0.0,21.3333333333,176.333333333,kitchen,no,incompatible,control, 'correction smaller than 15', 'correction smaller than 15',1.0,85.0,150.0,639,,,20908603.0,,,9.1,7.28475895483,0.220750271358,7.28475895483,0.220750271358,0.0413124326361,0.0413124326361,,0.0413124326361,0.275757575758,0.051606805293,,0.051606805293,,,,,,,,,,,,,,,,,,,,,,,,,,,521.1,,,-44.4,-36.5751037343,-1.71445798754,-1.34545454545,-2.08125,,,,,,,,,,,510.6,,,undefined,00404.asc,1.0,zero,639.0,right,429.022124249,black,32.0,C,control,25.0,50.0,4000.0,50.0,50.0,0.0,knife,0.0,2.0,asymm_kitchen_knife,0.0,2.0,1.0,left,538.0,701.0,20908555.0,,,1.0,48.0,,,163.0,,,115.0,,,3.0,yes,180.0,240.0,13.6,11.7847589548,0.357113907722,11.7847589548,0.357113907722,0.0668322814073,0.0668322814073,0.412121212121,0.0771266540643,,,,,,,,,,,,,,,,,,,525.6,,,-171.5,-163.675103734,-7.67227048754,-5.19696969697,-8.0390625,,,,,,,,,,,383.5,,,20908440.0,even,asymm,20908000.0,20909141.0,10409.0,23.0,lower,1.81524104517,1.81524104517,3.8,,,510.184758955,547.175103734,547.175103734,-7.82489626572,-7.82489626572,163.7,,,555.0,-171.0,-6.0,True,004B,right__,first,510.6
1077.79681196,1.0,control,0.0,29.3333333333,173.333333333,garage,no,compatible,control, 'correction smaller than 15', 'correction smaller than 15',2.0,85.0,150.0,216,771,,20955361.0,20955597,,-9.8,-11.0057513206,-0.333507615777,-11.0057513206,-0.333507615777,-0.0634947191575,-0.0634947191575,,-0.0634947191575,-0.29696969697,-0.0565384615385,,-0.0565384615385,-55.9,-57.1057513206,-1.73047731275,-57.1057513206,-1.73047731275,-0.329456257619,-0.329456257619,,-0.329456257619,-1.69393939394,-0.3225,,-0.3225,,,,,,,,,,,,,,502.2,456.1,,-13.5,-12.2147538005,-0.41641206138,-0.409090909091,-0.460227272727,-41.2,-39.9147538005,-1.3607302432,-1.24848484848,-1.40454545455,,,,,,164.5,136.8,,undefined,00404.asc,2.0,zero,987.0,right,437.553317168,black,32.0,C,control,25.0,50.0,4000.0,50.0,50.0,0.0,chisel2,0.0,2.0,asymm_garage_chisel2,1.0,2.0,2.0,right,908.0,1084.0,20955310.0,20955579,,2.0,51.0,18,,176.0,412,,125.0,394,,3.0,yes,180.0,240.0,1.2,-0.00575132063892,-0.000174282443604,-0.00575132063892,-0.000174282443604,-3.31806959938e-05,-3.31806959938e-05,0.0363636363636,0.00692307692308,-10.5,-11.7057513206,-0.354719736989,-11.7057513206,-0.354719736989,-0.067533180696,-0.067533180696,-0.318181818182,-0.0605769230769,,,,,,,,,,513.2,501.5,,199.9,201.1852462,6.85858793862,6.05757575758,6.81477272727,-38.0,-36.7147538005,-1.25163933411,-1.15151515152,-1.29545454545,,,,,,377.9,140.0,,20955185.0,even,asymm,20954745.0,20956269.0,10416.0,30.0,upper,1.20575132064,1.20575132064,-11.8,-48.0,,510.794248679,176.7147538,176.7147538,-1.28524619951,-1.28524619951,-243.4,-240.9,,178.0,206.0,6.0,True,004B,right__,first,548.5
748.889781995,1.0,control,0.0,42.6666666667,176.0,kitchen,no,incompatible,control, 'correction smaller than 15', 'correction smaller than 15',1.0,85.0,150.0,225,421,,21051011.0,21051257,,-6.3,5.72626300639,0.173523121406,5.72626300639,0.173523121406,0.0325355852636,0.0325355852636,,0.0325355852636,-0.190909090909,-0.0357954545455,,-0.0357954545455,-33.5,-21.4737369936,-0.650719302837,-21.4737369936,-0.650719302837,-0.122009869282,-0.122009869282,,-0.122009869282,-1.01515151515,-0.190340909091,,-0.190340909091,,,,,,,,,,,,,,505.7,478.5,,-19.4,-21.8647558943,-0.512455216273,-0.587878787879,-0.4546875,-10.6,-13.0647558943,-0.306205216273,-0.321212121212,-0.2484375,,,,,,549.6,558.4,,undefined,00404.asc,2.0,zero,646.0,right,497.150765701,black,32.0,C,control,25.0,50.0,4000.0,50.0,50.0,0.0,spoon2,0.0,3.0,asymm_kitchen_spoon2,1.0,3.0,1.0,left,571.0,756.0,21050957.0,21051238,,2.0,54.0,19,,185.0,431,,131.0,412,,3.0,yes,180.0,240.0,8.6,20.6262630064,0.625038272921,20.6262630064,0.625038272921,0.117194676173,0.117194676173,0.260606060606,0.0488636363636,-6.4,5.62626300639,0.170492818376,5.62626300639,0.170492818376,0.0319674034454,0.0319674034454,-0.193939393939,-0.0363636363636,,,,,,,,,,520.6,505.6,,-208.8,-211.264755894,-4.95151771627,-6.32727272727,-4.89375,-2.5,-4.96475589433,-0.116361466273,-0.0757575757576,-0.05859375,,,,,,360.2,566.5,,21050826.0,even,asymm,21050326.0,21051582.0,10428.0,42.0,lower,-12.0262630064,-12.0262630064,-9.6,-27.6,,524.026263006,571.464755894,571.464755894,2.46475589433,2.46475589433,181.5,178.9,,569.0,-185.0,-6.0,True,004B,left__,first,549.6
