RT,accuracy,aff_lum,block_count,boxHeight,boxWidth,cat,catch_trial,checkFixDotFailed,checkObjectFailed,comp,contrast_side,corrDirection,corrDirectionMask,correct_response,cutoff_warning_msg,dev_for_warning,durCheck1,durCheck2,durationFix1,durationFix2,durationFix3,durationFix4,eTimeSacc1,eTimeSacc2,eTimeSacc3,eTimeSacc4,endX1,endX1Corr,endX1CorrDegrees,endX1CorrMask,endX1CorrMaskDegrees,endX1CorrMaskNorm,endX1CorrNorm,endX1CorrNormToContrast,endX1CorrNormToHandle,endX1Degrees,endX1Norm,endX1NormToContrast,endX1NormToHandle,endX2,endX2Corr,endX2CorrDegrees,endX2CorrMask,endX2CorrMaskDegrees,endX2CorrMaskNorm,endX2CorrNorm,endX2CorrNormToContrast,endX2CorrNormToHandle,endX2Degrees,endX2Norm,endX2NormToContrast,endX2NormToHandle,endX3,endX3Corr,endX3CorrDegrees,endX3CorrMask,endX3CorrMaskDegrees,endX3CorrMaskNorm,endX3CorrNorm,endX3CorrNormToContrast,endX3CorrNormToHandle,endX3Degrees,endX3Norm,endX3NormToContrast,endX3NormToHandle,endX4,endX4Corr,endX4CorrDegrees,endX4CorrMask,endX4CorrMaskDegrees,endX4CorrMaskNorm,endX4CorrNorm,endX4CorrNormToContrast,endX4CorrNormToHandle,endX4Degrees,endX4Norm,endX4NormToContrast,endX4NormToHandle,endXRaw1,endXRaw2,endXRaw3,endXRaw4,endY1,endY1Corr,endY1CorrNorm,endY1Degrees,endY1Norm,endY2,endY2Corr,endY2CorrNorm,endY2Degrees,endY2Norm,endY3,endY3Corr,endY3CorrNorm,endY3Degrees,endY3Norm,endY4,endY4Corr,endY4CorrNorm,endY4Degrees,endY4Norm,endYRaw1,endYRaw2,endYRaw3,endYRaw4,eye_used,file,fixCount,gap,gazeDur,handle_side,jitter_dur,large_fix_col,large_fix_size,latin_square_letter,mask_side,max_dev_fix,max_dev_object,max_samples,min_samples_fix,min_samples_object,n_blink,object,outlier,overall_rep,picture_name,refixProb,rep,response,response_hand,rtFromLanding,rtFromStim,rtFromSuccess,sTimeSacc1,sTimeSacc2,sTimeSacc3,sTimeSacc4,saccCount,saccDur1,saccDur2,saccDur3,saccDur4,saccLandingTime1,saccLandingTime2,saccLandingTime3,saccLandingTime4,saccLat1,saccLat2,saccLat3,saccLat4,scale,scale_item,scaled_height,scaled_width,startX1,startX1Corr,startX1CorrDegrees,startX1CorrMask,startX1CorrMaskDegrees,startX1CorrMaskNorm,startX1CorrNorm,startX1Degrees,startX1Norm,startX2,startX2Corr,startX2CorrDegrees,startX2CorrMask,startX2CorrMaskDegrees,startX2CorrMaskNorm,startX2CorrNorm,startX2Degrees,startX2Norm,startX3,startX3Corr,startX3CorrDegrees,startX3CorrMask,startX3CorrMaskDegrees,startX3CorrMaskNorm,startX3CorrNorm,startX3Degrees,startX3Norm,startX4,startX4Corr,startX4CorrDegrees,startX4CorrMask,startX4CorrMaskDegrees,startX4CorrMaskNorm,startX4CorrNorm,startX4Degrees,startX4Norm,startXRaw1,startXRaw2,startXRaw3,startXRaw4,startY1,startY1Corr,startY1CorrNorm,startY1Degrees,startY1Norm,startY2,startY2Corr,startY2CorrNorm,startY2Degrees,startY2Norm,startY3,startY3Corr,startY3CorrNorm,startY3Degrees,startY3Norm,startY4,startY4Corr,startY4CorrNorm,startY4Degrees,startY4Norm,startYRaw1,startYRaw2,startYRaw3,startYRaw4,stimOnset,subject_parity,symm,timestampFixOnset,timestampResponse,trialId,trial_count,visual_field,xCoG,xCoGMask,xFix1,xFix2,xFix3,xFix4,xStimNormal,yCoG,yCoGMask,yCoGMaskZero,yCoGZero,yFix1,yFix2,yFix3,yFix4,yStimNormal,y_stim,y_stim_degrees,driftCorr,exp,heavySide,half,sacc_dir
968.807416486,1.0,control,0.0,32.0,176.0,garage,no,False,False,incompatible,control, 'correction awayHandle', 'correction awayHandle',7.0,85.0,150.0,552.0,384.0,192.0,1003,,,13982293.0,13982504,,,38.5,17.3741921447,0.526490671053,17.3741921447,0.526490671053,0.0987170008224,0.0987170008224,,-0.0987170008224,1.16666666667,0.21875,,-0.21875,78.1,56.9741921447,1.72649067105,56.9741921447,1.72649067105,0.323717000822,0.323717000822,,-0.323717000822,2.36666666667,0.44375,,-0.44375,,,,,,,,,,,,,,,,,,,,,,,,,,,550.5,590.1,,,-3.4,-5.10183350261,-0.159432296957,-0.10303030303,-0.10625,-7.4,-9.10183350261,-0.284432296957,-0.224242424242,-0.23125,,,,,,,,,,,591.6,587.6,,,undefined,SS06.asc,2.0,zero,1195.0,left,436.390708588,black,32.0,C,control,25.0,50.0,4000.0,50.0,50.0,0.0,wrench,0.0,1.0,asymm_garage_wrench,1.0,1.0,7.0,right,1119.0,1354.0,970.0,13982257.0,13982487,,,2.0,36.0,17,,,235.0,446,,,199.0,429,,,3.0,yes,180.0,240.0,2.4,-18.7258078553,-0.567448722887,-18.7258078553,-0.567448722887,-0.106396635541,-0.106396635541,0.0727272727273,0.0136363636364,37.2,16.0741921447,0.487096731659,16.0741921447,0.487096731659,0.091330637186,0.091330637186,1.12727272727,0.211363636364,,,,,,,,,,,,,,,,,,,514.4,549.2,,,-213.5,-215.201833503,-6.72505729696,-6.4696969697,-6.671875,-0.8,-2.50183350261,-0.0781822969567,-0.0242424242424,-0.025,,,,,,,,,,,381.5,594.2,,,13982058.0,even,asymm,13981497.0,13983412.0,6.0,0.0,lower,21.1258078553,21.1258078553,37.7,68.3,,,512.0,596.701833503,596.701833503,1.70183350261,1.70183350261,206.8,218.6,,,595.0,-211.0,-7.0,True,004A,right__,first,591.6
189.151440967,1.0,control,0.0,27.0,184.333333333,kitchen,no,False,False,incompatible,control, 'correction smaller than 15', 'correction smaller than 15',6.0,85.0,150.0,529.0,500.0,438.0,,,,13995241.0,,,,-4.0,9.45786799428,0.286602060433,9.45786799428,0.286602060433,0.0513085062981,0.0513085062981,,0.0513085062981,-0.121212121212,-0.0216998191682,,-0.0216998191682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.0,,,,-7.4,-0.107707184946,-0.00398915499799,-0.224242424242,-0.274074074074,,,,,,,,,,,,,,,,612.6,,,,undefined,SS06.asc,1.0,overlap,438.0,right,383.69055352,black,32.0,B,control,25.0,50.0,4000.0,50.0,50.0,0.0,spoon,0.0,1.0,asymm_kitchen_spoon,0.0,1.0,6.0,left,339.0,691.0,191.0,13995202.0,,,,1.0,39.0,,,,352.0,,,,313.0,,,,3.0,yes,180.0,240.0,8.9,22.3578679943,0.677511151342,22.3578679943,0.677511151342,0.121290423115,0.121290423115,0.269696969697,0.0482820976492,,,,,,,,,,,,,,,,,,,,,,,,,,,,520.9,,,,-234.9,-227.607707185,-8.42991508092,-7.11818181818,-8.7,,,,,,,,,,,,,,,,385.1,,,,13994889.0,even,asymm,13994349.0,13995580.0,9.0,3.0,lower,-13.4578679943,-13.4578679943,-2.8,,,,512.0,612.707707185,612.707707185,-7.29229281505,-7.29229281505,234.5,,,,620.0,-236.0,-7.0,True,004A,left__,first,612.6
818.058958955,1.0,control,0.0,43.3333333333,176.333333333,kitchen,no,False,False,incompatible,control, 'correction awayHandle', 'correction awayHandle',6.0,85.0,150.0,506.0,375.0,155.0,891,,,14020437.0,14020611,,,2.1,32.990600737,0.999715173847,32.990600737,0.999715173847,0.187092253707,0.187092253707,,0.187092253707,0.0636363636364,0.0119092627599,,0.0119092627599,-48.7,-17.809399263,-0.539678765547,-17.809399263,-0.539678765547,-0.100998483533,-0.100998483533,,-0.100998483533,-1.47575757576,-0.27618147448,,-0.27618147448,,,,,,,,,,,,,,,,,,,,,,,,,,,514.1,463.3,,,10.5,22.29068819,0.514400496691,0.318181818182,0.242307692308,8.9,20.69068819,0.477477419768,0.269696969697,0.205384615385,,,,,,,,,,,198.5,196.9,,,undefined,SS06.asc,2.0,zero,1046.0,right,355.243263637,black,32.0,B,control,25.0,50.0,4000.0,50.0,50.0,0.0,washingbrush,0.0,1.0,asymm_kitchen_washingbrush,1.0,1.0,6.0,left,970.0,1195.0,820.0,14020400.0,14020594,,,2.0,37.0,17,,,225.0,399,,,188.0,382,,,3.0,yes,180.0,240.0,-2.8,28.090600737,0.851230325362,28.090600737,0.851230325362,0.159303973934,0.159303973934,-0.0848484848485,-0.0158790170132,-6.2,24.690600737,0.748200022332,24.690600737,0.748200022332,0.140022310418,0.140022310418,-0.187878787879,-0.0351606805293,,,,,,,,,,,,,,,,,,,509.2,505.8,,,217.3,229.09068819,5.286708189,6.58484848485,5.01461538462,22.3,34.09068819,0.786708188999,0.675757575758,0.514615384615,,,,,,,,,,,405.3,210.3,,,14020212.0,even,asymm,14019702.0,14021407.0,15.0,9.0,upper,-30.890600737,-30.890600737,-5.6,-57.6,,,512.0,176.20931181,176.20931181,-11.79068819,-11.79068819,-176.4,-176.8,,,188.0,196.0,5.0,True,004A,left__,first,582.5
730.826896038,1.0,control,0.0,21.3333333333,176.333333333,kitchen,no,False,False,incompatible,control, 'correction smaller than 15', 'correction smaller than 15',6.0,85.0,150.0,558.0,407.0,188.0,225,545,,14080332.0,14080536,14080773,,19.2,17.3847589548,0.526810877419,17.3847589548,0.526810877419,0.0985903154338,0.0985903154338,,0.0985903154338,0.581818181818,0.108884688091,,0.108884688091,39.2,37.3847589548,1.13287148348,37.3847589548,1.13287148348,0.212011865528,0.212011865528,,0.212011865528,1.18787878788,0.222306238185,,0.222306238185,59.6,57.7847589548,1.75105330166,57.7847589548,1.75105330166,0.327701846625,0.327701846625,,0.327701846625,1.80606060606,0.337996219282,,0.337996219282,,,,,,,,,,,,,,531.2,551.2,571.6,,-10.4,-2.57510373428,-0.120707987544,-0.315151515152,-0.4875,31.1,38.9248962657,1.82460451246,0.942424242424,1.4578125,29.1,36.9248962657,1.73085451246,0.881818181818,1.3640625,,,,,,570.6,612.1,610.1,,undefined,SS06.asc,3.0,zero,958.0,right,438.292764572,black,32.0,B,control,25.0,50.0,4000.0,50.0,50.0,0.0,knife,0.0,1.0,asymm_kitchen_knife,1.0,1.0,6.0,left,886.0,1140.0,733.0,14080301.0,14080522,14080763,,3.0,31.0,14,10,,254.0,458,695,,223.0,444,685,,3.0,yes,180.0,240.0,8.0,6.18475895483,0.187416938025,6.18475895483,0.187416938025,0.0350742473809,0.0350742473809,0.242424242424,0.0453686200378,19.4,17.5847589548,0.53287148348,17.5847589548,0.53287148348,0.0997245309347,0.0997245309347,0.587878787879,0.110018903592,37.2,35.3847589548,1.07226542287,35.3847589548,1.07226542287,0.200669710519,0.200669710519,1.12727272727,0.210964083176,,,,,,,,,,520.0,531.4,549.2,,-194.4,-186.575103734,-8.74570798754,-5.89090909091,-9.1125,0.2,8.02489626572,0.376167012456,0.00606060606061,0.009375,31.6,39.4248962657,1.84804201246,0.957575757576,1.48125,,,,,,386.6,581.2,612.6,,14080078.0,even,asymm,14079518.0,14081218.0,24.0,18.0,lower,1.81524104517,1.81524104517,19.6,37.7,58.2,,512.0,573.175103734,573.175103734,-7.82489626572,-7.82489626572,192.8,228.5,225.5,,581.0,-197.0,-6.0,True,004A,right__,first,570.6
515.180779092,1.0,control,0.0,64.3333333333,165.666666667,garage,no,False,False,compatible,control, 'correction awayHandle', 'correction awayHandle',7.0,85.0,150.0,564.0,458.0,756.0,,,,14154781.0,,,,-26.3,22.9380396484,0.695092110559,22.9380396484,0.695092110559,0.138458991842,0.138458991842,,0.138458991842,-0.79696969697,-0.158752515091,,-0.158752515091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485.7,,,,-16.1,-21.9504250274,-0.341198316488,-0.487878787879,-0.250259067358,,,,,,,,,,,,,,,,559.9,,,,undefined,SS06.asc,1.0,overlap,756.0,right,455.386825088,black,32.0,B,control,25.0,50.0,4000.0,50.0,50.0,0.0,hammer,0.0,2.0,asymm_garage_hammer,0.0,2.0,7.0,right,660.0,975.0,517.0,14154748.0,,,,1.0,33.0,,,,315.0,,,,282.0,,,,3.0,yes,180.0,240.0,-4.0,45.2380396484,1.37084968632,45.2380396484,1.37084968632,0.273066637717,0.273066637717,-0.121212121212,-0.0241448692153,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.0,,,,-189.1,-194.950425027,-3.03031748747,-5.7303030303,-2.93937823834,,,,,,,,,,,,,,,,386.9,,,,14154466.0,even,asymm,14153896.0,14155441.0,32.0,26.0,lower,-49.2380396484,-49.2380396484,-27.0,,,,512.0,581.850425027,581.850425027,5.8504250274,5.8504250274,177.7,,,,576.0,-192.0,-6.0,True,004A,left__,first,559.9
549.922821633,1.0,control,0.0,24.0,176.0,garage,no,False,False,compatible,control, 'correction towardsHandle', 'correction towardsHandle',7.0,85.0,150.0,497.0,516.0,243.0,547,,,14167639.0,14167895,,,31.3,6.72356441818,0.203744376308,6.72356441818,0.203744376308,0.0382020705578,0.0382020705578,,0.0382020705578,0.948484848485,0.177840909091,,0.177840909091,20.1,-4.47643558182,-0.135649563086,-4.47643558182,-0.135649563086,-0.0254342930785,-0.0254342930785,,-0.0254342930785,0.609090909091,0.114204545455,,0.114204545455,,,,,,,,,,,,,,,,,,,,,,,,,,,543.3,532.1,,,-15.9,-12.8027401217,-0.533447505069,-0.481818181818,-0.6625,-37.8,-34.7027401217,-1.44594750507,-1.14545454545,-1.575,,,,,,,,,,,171.1,149.2,,,undefined,SS06.asc,2.0,overlap,790.0,right,345.609714841,black,32.0,B,control,25.0,50.0,4000.0,50.0,50.0,0.0,chisel,0.0,2.0,asymm_garage_chisel,1.0,2.0,7.0,right,707.0,1068.0,552.0,14167587.0,14167884,,,2.0,52.0,11,,,361.0,617,,,309.0,606,,,3.0,yes,180.0,240.0,-16.8,-41.3764355818,-1.25383138127,-41.3764355818,-1.25383138127,-0.235093383988,-0.235093383988,-0.509090909091,-0.0954545454545,33.6,9.02356441818,0.273441346005,9.02356441818,0.273441346005,0.051270252376,0.051270252376,1.01818181818,0.190909090909,,,,,,,,,,,,,,,,,,,495.2,545.6,,,208.2,211.297259878,8.80405249493,6.30909090909,8.675,-19.7,-16.6027401217,-0.691780838402,-0.59696969697,-0.820833333333,,,,,,,,,,,395.2,167.3,,,14167278.0,even,asymm,14166778.0,14168346.0,35.0,29.0,upper,24.5764355818,24.5764355818,33.5,20.3,,,512.0,183.902740122,183.902740122,-3.09725987834,-3.09725987834,-217.4,-229.4,,,187.0,197.0,5.0,True,004A,right__,first,555.1
603.901116533,1.0,control,0.0,43.3333333333,176.333333333,kitchen,no,False,False,compatible,control, 'correction awayHandle', 'correction awayHandle',6.0,85.0,150.0,594.0,405.0,152.0,689,,,14177291.0,14177461,,,55.9,25.009399263,0.757860583729,25.009399263,0.757860583729,0.141830241567,0.141830241567,,-0.141830241567,1.69393939394,0.317013232514,,-0.317013232514,84.8,53.909399263,1.63361815949,53.909399263,1.63361815949,0.305724381454,0.305724381454,,-0.305724381454,2.5696969697,0.480907372401,,-0.480907372401,,,,,,,,,,,,,,,,,,,,,,,,,,,567.9,596.8,,,-23.8,-12.00931181,-0.277137964847,-0.721212121212,-0.549230769231,-40.6,-28.80931181,-0.66483027254,-1.2303030303,-0.936923076923,,,,,,,,,,,155.2,138.4,,,undefined,SS06.asc,2.0,zero,841.0,left,444.775326338,black,32.0,C,control,25.0,50.0,4000.0,50.0,50.0,0.0,washingbrush,0.0,2.0,asymm_kitchen_washingbrush,1.0,2.0,6.0,left,759.0,1011.0,606.0,14177243.0,14177445,,,2.0,48.0,16,,,252.0,422,,,204.0,406,,,3.0,yes,180.0,240.0,2.5,-28.390600737,-0.860321234453,-28.390600737,-0.860321234453,-0.161005297185,-0.161005297185,0.0757575757576,0.0141776937618,56.5,25.609399263,0.77604240191,25.609399263,0.77604240191,0.14523288807,0.14523288807,1.71212121212,0.320415879017,,,,,,,,,,,,,,,,,,,514.5,568.5,,,221.1,232.89068819,5.37440049669,6.7,5.10230769231,-19.1,-7.30931181005,-0.168676426386,-0.578787878788,-0.440769230769,,,,,,,,,,,400.1,159.9,,,14177039.0,even,asymm,14176439.0,14178050.0,37.0,31.0,upper,30.890600737,30.890600737,55.8,74.1,,,512.0,167.20931181,167.20931181,-11.79068819,-11.79068819,-227.9,-231.8,,,179.0,205.0,6.0,True,004A,right__,first,539.2
437.349060533,1.0,control,0.0,66.6666666667,162.666666667,garage,no,False,False,compatible,control, 'correction awayHandle', 'correction awayHandle',7.0,85.0,150.0,521.0,440.0,692.0,,,,14190609.0,,,,-48.1,-11.6474947988,-0.352954387843,-11.6474947988,-0.352954387843,-0.0716034516321,-0.0716034516321,,-0.0716034516321,-1.45757575758,-0.295696721311,,-0.295696721311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463.9,,,,-15.6,-16.016775653,-0.240251634795,-0.472727272727,-0.234,,,,,,,,,,,,,,,,542.4,,,,undefined,SS06.asc,1.0,zero,692.0,right,368.428168768,black,32.0,B,control,25.0,50.0,4000.0,50.0,50.0,0.0,mallet,0.0,2.0,asymm_garage_mallet,0.0,2.0,7.0,right,590.0,879.0,439.0,14190576.0,,,,1.0,33.0,,,,289.0,,,,256.0,,,,3.0,yes,180.0,240.0,-21.1,15.3525052012,0.465227430339,15.3525052012,0.465227430339,0.0943801549252,0.0943801549252,-0.639393939394,-0.129713114754,,,,,,,,,,,,,,,,,,,,,,,,,,,,490.9,,,,-178.8,-179.216775653,-2.6882516348,-5.41818181818,-2.682,,,,,,,,,,,,,,,,379.2,,,,14190320.0,even,asymm,14189790.0,14191199.0,39.0,33.0,lower,-36.4525052012,-36.4525052012,-34.4,,,,512.0,558.416775653,558.416775653,0.416775653024,0.416775653024,167.2,,,,558.0,-174.0,-6.0,True,004A,left__,first,542.4
463.195792513,1.0,control,0.0,21.3333333333,176.333333333,kitchen,no,False,False,compatible,control, 'correction smaller than 15', 'correction smaller than 15',6.0,85.0,150.0,915.0,413.0,239.0,353,67,,14249690.0,14249954,14250331,,-10.7,-8.88475895483,-0.269235119843,-8.88475895483,-0.269235119843,-0.0503861566436,-0.0503861566436,,0.0503861566436,-0.324242424242,-0.0606805293006,,0.0606805293006,47.4,49.2152410452,1.49137094076,49.2152410452,1.49137094076,0.279103446381,0.279103446381,,-0.279103446381,1.43636363636,0.268809073724,,-0.268809073724,12.4,14.2152410452,0.430764880157,14.2152410452,0.430764880157,0.0806157337155,0.0806157337155,,-0.0806157337155,0.375757575758,0.0703213610586,,-0.0703213610586,,,,,,,,,,,,,,501.3,559.4,524.4,,-11.2,-3.37510373428,-0.158207987544,-0.339393939394,-0.525,8.9,16.7248962657,0.783979512456,0.269696969697,0.4171875,-60.8,-52.9751037343,-2.48320798754,-1.84242424242,-2.85,,,,,,585.8,605.9,536.2,,undefined,SS06.asc,3.0,zero,659.0,left,508.431742978,black,32.0,C,control,25.0,50.0,4000.0,50.0,50.0,1.0,knife,0.0,2.0,asymm_kitchen_knife,1.0,2.0,6.0,left,615.0,878.0,465.0,14249655.0,14249931,14250309,,3.0,35.0,23,22,,263.0,527,904,,228.0,504,882,,3.0,yes,180.0,240.0,5.4,7.21524104517,0.218643668036,7.21524104517,0.218643668036,0.0409181911825,0.0409181911825,0.163636363636,0.0306238185255,-4.0,-2.18475895483,-0.066204816813,-2.18475895483,-0.066204816813,-0.012389937362,-0.012389937362,-0.121212121212,-0.0226843100189,42.8,44.6152410452,1.35197700137,44.6152410452,1.35197700137,0.253016489859,0.253016489859,1.29696969697,0.242722117202,,,,,,,,,,517.4,508.0,554.8,,-209.9,-202.075103734,-9.47227048754,-6.36060606061,-9.8390625,-5.8,2.02489626572,0.0949170124556,-0.175757575758,-0.271875,10.3,18.1248962657,0.849604512456,0.312121212121,0.4828125,,,,,,387.1,591.2,607.3,,14249427.0,even,asymm,14248507.0,14250305.0,46.0,40.0,lower,-1.81524104517,-1.81524104517,-4.5,42.9,11.6,,512.0,589.175103734,589.175103734,-7.82489626572,-7.82489626572,202.7,220.9,159.1,,597.0,-213.0,-7.0,True,004A,left__,first,585.8
928.976085894,1.0,control,0.0,42.6666666667,176.0,kitchen,no,False,False,incompatible,control, 'correction smaller than 15', 'correction smaller than 15',6.0,85.0,150.0,555.0,383.0,121.0,367,648,,14258835.0,14258973,14259360,,-18.7,-6.67373699361,-0.202234454352,-6.67373699361,-0.202234454352,-0.0379189601909,-0.0379189601909,,-0.0379189601909,-0.566666666667,-0.10625,,-0.10625,-18.7,-6.67373699361,-0.202234454352,-6.67373699361,-0.202234454352,-0.0379189601909,-0.0379189601909,,-0.0379189601909,-0.566666666667,-0.10625,,-0.10625,-43.5,-31.4737369936,-0.953749605867,-31.4737369936,-0.953749605867,-0.1788280511,-0.1788280511,,-0.1788280511,-1.31818181818,-0.247159090909,,-0.247159090909,,,,,,,,,,,,,,493.3,493.3,468.5,,-26.7,-29.1647558943,-0.683548966273,-0.809090909091,-0.62578125,3.7,1.23524410567,0.0289510337266,0.112121212121,0.08671875,14.1,11.6352441057,0.272701033727,0.427272727273,0.33046875,,,,,,580.3,610.7,621.1,,undefined,SS06.asc,3.0,zero,1136.0,right,450.66291366,black,32.0,B,control,25.0,50.0,4000.0,50.0,50.0,0.0,spoon2,0.0,3.0,asymm_kitchen_spoon2,1.0,3.0,6.0,left,1076.0,1313.0,930.0,14258799.0,14258958,14259342,,3.0,36.0,15,18,,237.0,375,762,,201.0,360,744,,3.0,yes,180.0,240.0,-1.6,10.4262630064,0.31594736383,10.4262630064,0.31594736383,0.0592401307182,0.0592401307182,-0.0484848484848,-0.00909090909091,-19.2,-7.17373699361,-0.217385969503,-7.17373699361,-0.217385969503,-0.0407598692818,-0.0407598692818,-0.581818181818,-0.109090909091,-18.5,-6.47373699361,-0.196173848291,-6.47373699361,-0.196173848291,-0.0367825965546,-0.0367825965546,-0.560606060606,-0.105113636364,,,,,,,,,,510.4,492.8,493.5,,-229.7,-232.164755894,-5.44136146627,-6.96060606061,-5.38359375,-31.4,-33.8647558943,-0.793705216273,-0.951515151515,-0.7359375,9.8,7.33524410567,0.171919783727,0.29696969697,0.2296875,,,,,,377.3,575.6,616.8,,14258598.0,even,asymm,14258037.0,14259911.0,48.0,42.0,lower,-12.0262630064,-12.0262630064,-20.6,-16.7,-44.1,,512.0,609.464755894,609.464755894,2.46475589433,2.46475589433,185.6,228.5,238.3,,607.0,-223.0,-7.0,True,004A,left__,first,580.3
